gloo Gloo roam, exp
gloo > lesley = 2
gloo > aamon = 2
gloo > bruno = 2
gloo > granger = 2
gloo > brody = 2
gloo > cecilion = 2
gloo > change = 2
gloo > johnson = 2
gloo > jawhead = 2
gloo > vale = 2
gloo > faramis = -2
gloo > alice = -2
gloo > natan = -2
gloo > ruby = -2
gloo > yve = -2
gloo > karrie = -2

lolita Lolita roam
lolita > cyclops = 2
lolita > edith = 2
lolita > change = 2
lolita > kimmy = 2
lolita > bane = 2
lolita > bruno = 2
lolita > yve = -2
lolita > harith = -2
lolita > melissa = -2
lolita > natalia = -2
lolita > aurora = -2
lolita > ling = -2
lolita > paquito = -2

masha Masha exp
masha > yuzhong = 2
masha > saber = 2
masha > chip = 2
masha > brody = 2
masha > wanwan = 2
masha > ixia = 2
masha > layla = 2
masha > khaleed = 2
masha > guinevere = 2
masha > faramis = -2
masha > sun = -2
masha > argus = -2
masha > ruby = -2
masha > minotaur = -2
masha > cici = -2
masha > thamuz = -2

diggie Diggie roam
diggie > tigreal = 2
diggie > atlas = 2
diggie > chip = 2
diggie > alpha = 2
diggie > khufra = 2
diggie > lolita = 1
diggie > faramis = 2
diggie > alice = 2
diggie > ruby = 2
diggie > zhuxin = 1
diggie > estes = -2
diggie > khaleed = -2
diggie > sun = -2
diggie > floryn = -2
diggie > ling = -2
diggie > aamon = -2

floryn Floryn roam
floryn > diggie = 2
floryn > alice = 2
floryn > x.borg = 2
floryn > zetian = 2
floryn > gatotkaca = 2
floryn > uranus = 2
floryn > lolita = 1
floryn > ling = 2
floryn > faramis = 2
floryn > khaleed = 2
floryn > yin = -2
floryn > nolan = -2
floryn > silvanna = -2
floryn > ixia = -2
floryn > karina = -2
floryn > saber = -2

kaja Kaja roam
kaja > lapulapu = 2
kaja > wanwan = 2
kaja > matilda = 2
kaja > belerick = 2
kaja > khaleed = 2
kaja > fanny = 2
kaja > lancelot = 2
kaja > gloo = 2
kaja > faramis = 2
kaja > carmilla = 2
kaja > zhask = -2
kaja > phoveus = -2
kaja > rafaela = -2
kaja > cyclops = -2
kaja > lolita = -2
kaja > layla = -2
kaja > pharsa = -2

hanabi Hanabi gold
hanabi > popol = 2
hanabi > khufra = 1
hanabi > barats = 1
hanabi > akai = 1
hanabi > minotaur = 1
hanabi > tigreal = 1
hanabi > belerick = 1
hanabi > chip = 1
hanabi > valentina = 1
hanabi > lolita = -2
hanabi > beatrix = -2
hanabi > ixia = -2
hanabi > granger = -2
hanabi > natalia = -2
hanabi > lancelot = -2
hanabi > zilong = -2

estes Estes roam
estes > diggie = 2
estes > chip = 2
estes > alice = 2
estes > lesley = 2
estes > cyclops = 2
estes > valir = 2
estes > faramis = 2
estes > uranus = 2
estes > ixia = -2
estes > yin = -2
estes > beatrix = -2
estes > nolan = -2
estes > atlas = -2
estes > saber = -2
estes > eudora = -2

sun Sun exp, jungle
sun > masha = 2
sun > diggie = 2
sun > jawhead = 2
sun > cici = 2
sun > karrie = 2
sun > franco = 2
sun > gatotkaca = 2
sun > saber = 2
sun > ruby = -2
sun > aldous = -2
sun > joy = -2
sun > alucard = -2
sun > faramis = -2

minotaur Minotaur roam
minotaur > lolita = 2
minotaur > khufra = 2
minotaur > masha = 2
minotaur > johnson = 2
minotaur > popol = 2
minotaur > paquito = 1
minotaur > julian = 1
minotaur > luoyi = -2
minotaur > xavier = -2
minotaur > ixia = -2
minotaur > baxia = -2
minotaur > fanny = -2
minotaur > layla = -1
minotaur > lesley = -1

silvanna Silvanna exp
silvanna > floryn = 2
silvanna > aamon = 2
silvanna > angela = 2
silvanna > sun = 2
silvanna > rafaela = 2
